date,weighted,close,high,low,open,volume
12/23/2019 21:12,115.43,115.43,116.41,113.79,115.38,221294535.3
12/24/2019 21:12,112.58,112.58,114.33,111.54,115.43,217892202.2
12/25/2019 21:12,113.15,113.15,115.68,112.05,112.58,229128266.6
12/26/2019 21:12,113.07,113.07,113.72,111.97,113.15,239449559.4
12/27/2019 21:12,114.6,114.6,115.71,113.49,113.07,208993422.6
12/28/2019 21:12,120.28,120.28,121.4,115.45,114.6,307441458.2
12/29/2019 21:12,117.38,117.38,119.06,115.7,120.28,315715501
12/30/2019 21:12,115.02,115.02,118.61,114.32,117.38,254811544.5
12/31/2019 21:12,116.37,116.37,118.49,114.83,115.02,182136641.1
1/1/2020 21:01,113.52,113.52,113.96,112.09,116.37,257008007.2
1/2/2020 21:01,120.19,120.19,121.44,116.91,113.52,404273556.3
1/3/2020 21:01,120.21,120.21,122.32,119.55,120.19,227276622.4
1/4/2020 21:01,121.31,121.31,122.23,119.6,120.21,270604826.4
1/5/2020 21:01,128.86,128.86,130.94,127.26,121.31,378694667.4
1/6/2020 21:01,128.11,128.11,136.02,128.11,128.86,457392382.6
1/7/2020 21:01,126.49,126.49,127.07,122.58,128.11,521146092.5
1/8/2020 21:01,124.05,124.05,126.24,121.8,126.49,319435712
1/9/2020 21:01,130.17,130.17,133.04,128.55,124.05,408621415.3
1/10/2020 21:01,128.14,128.14,130.24,126.34,130.17,333640083.4
1/11/2020 21:01,131.48,131.48,131.78,129.5,128.14,260964121.6
1/12/2020 21:01,129,129,131.85,128.06,131.48,260811873.7
1/13/2020 21:01,149.03,149.03,152.6,137.37,129,1036565831
1/14/2020 21:01,149.04,149.04,153.79,145.72,149.03,774413739.4
1/15/2020 21:01,147.33,147.33,149.84,144.2,149.04,473594627.3
1/16/2020 21:01,153.31,153.31,157.24,149.94,147.33,692401313.2
1/17/2020 21:01,156.82,156.82,161.88,150.31,153.31,781286606.3
1/18/2020 21:01,150.57,150.57,154.34,148.22,156.82,597601896.2
1/19/2020 21:01,150.35,150.35,152.45,147,150.57,326013258.2
1/20/2020 21:01,152.59,152.59,154.4,150.31,150.35,334096367
1/21/2020 21:01,151.38,151.38,153.41,148.95,152.59,271772190.7
1/22/2020 21:01,147.13,147.13,148.5,145.23,151.38,349751924.6
1/23/2020 21:01,147.24,147.24,148.46,143.95,147.13,342211048
1/24/2020 21:01,145.68,145.68,146.52,143.64,147.24,201722557.1
1/25/2020 21:01,151.97,151.97,152.44,149.32,145.68,264887589.6
1/26/2020 21:01,153.91,153.91,157.71,153.75,151.97,377521170.4
1/27/2020 21:01,159.2,159.2,163.88,159.03,153.91,515563001
1/28/2020 21:01,157.53,157.53,160.82,157.36,159.2,361278623.4
1/29/2020 21:01,167.19,167.19,169.25,159.52,157.53,512713110.6
1/30/2020 21:01,161.85,161.85,164.54,159.91,167.19,439346856
1/31/2020 21:01,165.54,165.54,167.74,162.07,161.85,358603018.2
2/1/2020 21:02,169.91,169.91,172.01,163.51,165.54,654443816.7
2/2/2020 21:02,171.67,171.67,172.59,169.06,169.91,495953817.4
2/3/2020 21:02,170.66,170.66,171,167.26,171.67,464000845.1
2/4/2020 21:02,185.29,185.29,187.03,178.73,170.66,732863831.3
2/5/2020 21:02,193.93,193.93,195.26,187.35,185.29,843436200.1
2/6/2020 21:02,204.14,204.14,204.68,195.53,193.93,658097718.7
2/7/2020 21:02,204.3,204.3,209.38,200.14,204.14,654265157.4
2/8/2020 21:02,208.98,208.98,212.13,207.03,204.3,461570222.9
2/9/2020 21:02,204.89,204.89,206.34,199.91,208.98,546085446.4
2/10/2020 21:02,218.28,218.28,219.98,210.83,204.89,866609305.6
2/11/2020 21:02,243.87,243.87,253.93,219.58,218.28,1502775706
2/12/2020 21:02,247.12,247.12,251.93,237.61,243.87,1297890918
2/13/2020 21:02,262.31,262.31,263.45,244.99,247.12,1118597343
2/14/2020 21:02,243.56,243.56,253.68,242.47,262.31,1130253461
2/15/2020 21:02,238.61,238.61,248.63,224.58,243.56,1133691390
2/16/2020 21:02,246.36,246.36,247.08,222.68,238.61,1270054466
2/17/2020 21:02,261.44,261.44,267.84,253.92,246.36,1341483912
2/18/2020 21:02,239,239,250.18,237.32,261.44,745448023.6
2/19/2020 21:02,238.12,238.12,243.18,230.66,239,893178324.1
2/20/2020 21:02,243.57,243.57,244.81,236.1,238.12,836422540.2
2/21/2020 21:02,237.95,237.95,241.28,235.58,243.57,414674995.4
2/22/2020 21:02,252.14,252.14,252.14,246.48,237.95,660240912.2
2/23/2020 21:02,244.06,244.06,246.54,240.42,252.14,433772224.7
2/24/2020 21:02,226.02,226.02,235.41,225.85,244.06,727183074.6
2/25/2020 21:02,205.5,205.5,215.27,200.42,226.02,1047332078
